rank,task_id,window,start,status,posterior,delta_posterior,likelihood,prior,gnorm,cond_R,iterations,optimizer_return,slowest_half_life_hours,eigenvalues_selection,effective_block_rates
1,702,J20_trade_7h,lambda0p1_random02,ok,34539.6048121,0,34533.5468383,6.05797386888,0.359996,8.24162873747,441,LBFGSERR_ROUNDING_ERROR,2.84487395392,0.753500831676+0i;0.524444230119+0i;0.245987557983+0i;0.243647764994+0i;0.369393949511+0i,0.306520857252;0.638972530897
2,701,J20_trade_7h,lambda0p1_random01,ok,34539.5953186,0.0094935,34533.5491402,6.04617834997,0.183276,8.24088717517,455,LBFGSERR_ROUNDING_ERROR,2.83174215345,0.76352666753+0i;0.528503658209+0i;0.363808092754+0i;0.245673396894+0i;0.244777646762+0i,0.304292869758;0.646015162869
3,703,J20_trade_7h,lambda0p1_random03,ok,34539.5857077,0.0191044,34533.5363435,6.0493641904,0.126716,7.62174208414,528,LBFGSERR_ROUNDING_ERROR,2.79834156749,0.766479166052+0i;0.525675834014+0i;0.375973498567+0i;0.247699276104+0i;0.251036920894+0i,0.313505209731;0.646077500033
4,705,J20_trade_7h,lambda0p1_random05,ok,34539.5331242,0.0716879,34533.5354409,5.99768332542,0.462804,7.21984019019,469,LBFGSERR_ROUNDING_ERROR,2.81258928713,0.745922110216+0i;0.246444507107+0i;0.253406311104+0i;0.377985393019+0i;0.510764328608+0i,0.315695852062;0.628343219412
5,704,J20_trade_7h,lambda0p1_random04,ok,34539.4296556,0.1751565,34533.5690165,5.86063902056,0.809030,12.5519717926,384,LBFGSERR_ROUNDING_ERROR,2.86481230313,0.749164809366+0i;0.494480316747+0i;0.32864075536+0i;0.241952039861+0i;0.254878212731+0i,0.291759484045;0.621822563056
