event,window,start,status,runtime_seconds,posterior,likelihood,prior,shrinkage_lambda,optimizer_return,optimizer_iterations,optimizer_final_fx,optimizer_final_gnorm,condition_number_R,min_eigen_real_part_selection,slowest_half_life_hours,eigenvalues_selection,half_lives_hours,effective_rhos,block1_discriminant,block2_discriminant,selection_matrix_csv,manuscript_drift_matrix_csv,reconstructed_selection_matrix_csv,reconstruction_max_abs_error,exp_selection_A_5m_csv,exp_selection_A_15m_csv,exp_selection_A_30m_csv,exp_selection_A_60m_csv,exp_manuscript_A_5m_csv,exp_manuscript_A_15m_csv,exp_manuscript_A_30m_csv,exp_manuscript_A_60m_csv,xml,stdout,log
jan2022,J2_4h,lambda0p1_random01,ok,166.950,22534.0833075,22528.4359308,5.6473766683,0.1,LBFGSERR_ROUNDING_ERROR,856,-22534.083308,0.055339,3.28592399364,0.778033307463,0.890896538633,0.792703732748+0i;0.778033307463+0i;0.933412704013+0i;1.16864631365+0i;1.60796790934+0i,0.874408876766;0.890896538633;0.742594543207;0.593119725329;0.43107028227,1.03795845568;1.36343075535,0.0381446301511,0.113756181258,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random01_selection_matrix.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random01_manuscript_drift_matrix.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random01_reconstructed_selection_matrix.csv,3.48679418671e-16,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random01_exp_selection_A_5m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random01_exp_selection_A_15m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random01_exp_selection_A_30m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random01_exp_selection_A_60m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random01_exp_manuscript_A_5m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random01_exp_manuscript_A_15m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random01_exp_manuscript_A_30m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random01_exp_manuscript_A_60m.csv,runs/jan2022_J2_4h/lambda0p1_random01/input.xml,,
jan2022,J2_4h,lambda0p1_random02,ok,237.824,22533.9488128,22528.3223098,5.62650298247,0.1,LBFGSERR_MAXIMUMITERATION,1000,-22533.948813,0.119984,5.80369239781,0.791883990269,0.875314047357,1.58373724593+0i;0.791883990269+0i;1.04008040741+0i;0.867451084142+0i;0.910124318547+0i,0.437665517018;0.875314047357;0.666436148228;0.799061979668;0.761596153882,1.00340258177;1.33992987056,0.00745022081277,0.113438593984,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random02_selection_matrix.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random02_manuscript_drift_matrix.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random02_reconstructed_selection_matrix.csv,4.4408920985e-16,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random02_exp_selection_A_5m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random02_exp_selection_A_15m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random02_exp_selection_A_30m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random02_exp_selection_A_60m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random02_exp_manuscript_A_5m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random02_exp_manuscript_A_15m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random02_exp_manuscript_A_30m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random02_exp_manuscript_A_60m.csv,runs/jan2022_J2_4h/lambda0p1_random02/input.xml,,
jan2022,J2_4h,lambda0p1_random03,ok,109.663,22534.0822629,22528.4372034,5.64505950022,0.1,LBFGSERR_ROUNDING_ERROR,776,-22534.082263,0.288676,3.31614717089,0.778184215621,0.890723772913,1.60807445448+0i;0.79423164872+0i;0.778184215621+0i;0.932880566926+0i;1.1680450472+0i,0.431041721128;0.872726718555;0.890723772913;0.743018136656;0.593425041457,1.0383764882;1.36333745198,0.0379978670004,0.113971696447,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random03_selection_matrix.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random03_manuscript_drift_matrix.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random03_reconstructed_selection_matrix.csv,2.22044604925e-16,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random03_exp_selection_A_5m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random03_exp_selection_A_15m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random03_exp_selection_A_30m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random03_exp_selection_A_60m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random03_exp_manuscript_A_5m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random03_exp_manuscript_A_15m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random03_exp_manuscript_A_30m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random03_exp_manuscript_A_60m.csv,runs/jan2022_J2_4h/lambda0p1_random03/input.xml,,
jan2022,J2_4h,lambda0p1_random04,ok,277.157,22534.0834995,22528.438129,5.64537047403,0.1,LBFGSERR_MAXIMUMITERATION,1000,-22534.083500,0.124900,3.25179512624,0.778530348322,0.890327759289,1.60869113554+0i;0.792773885331+0i;0.778530348322+0i;0.938308737876+0i;1.17204185565+0i,0.430876484146;0.8743315003;0.890327759289;0.738719733261;0.591401388283,1.04002402195;1.3654040954,0.0387128266008,0.112353139775,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random04_selection_matrix.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random04_manuscript_drift_matrix.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random04_reconstructed_selection_matrix.csv,2.22044604925e-16,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random04_exp_selection_A_5m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random04_exp_selection_A_15m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random04_exp_selection_A_30m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random04_exp_selection_A_60m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random04_exp_manuscript_A_5m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random04_exp_manuscript_A_15m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random04_exp_manuscript_A_30m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random04_exp_manuscript_A_60m.csv,runs/jan2022_J2_4h/lambda0p1_random04/input.xml,,
jan2022,J2_4h,lambda0p1_random05,ok,235.412,22534.0814329,22528.4345216,5.64691131433,0.1,LBFGSERR_MAXIMUMITERATION,1000,-22534.081433,0.417080,3.35606546224,0.778537732589,0.890319314717,1.60739517126+0i;1.16686831086+0i;0.792287687228+0i;0.778537732589+0i;0.928606310619+0i,0.431223878829;0.594023485006;0.874868045703;0.890319314717;0.746438154289,1.03707220173;1.36150751669,0.0377001595049,0.115188579332,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random05_selection_matrix.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random05_manuscript_drift_matrix.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random05_reconstructed_selection_matrix.csv,6.66133814775e-16,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random05_exp_selection_A_5m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random05_exp_selection_A_15m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random05_exp_selection_A_30m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random05_exp_selection_A_60m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random05_exp_manuscript_A_5m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random05_exp_manuscript_A_15m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random05_exp_manuscript_A_30m.csv,results/compact/jan2022_J2_4h/matrices/jan2022_J2_4h_lambda0p1_random05_exp_manuscript_A_60m.csv,runs/jan2022_J2_4h/lambda0p1_random05/input.xml,,
