row,col,value
1,1,0.794231070274
1,2,-9.13525258376e-05
1,3,0.000115368927333
1,4,-7.49661548816e-05
1,5,0.000258139227
2,1,-0.000128657449576
2,2,1.16819482468
2,3,-0.00814481380998
2,4,-8.13511359835e-05
2,5,-0.000299529998267
3,1,0.000135923979845
3,2,0.00716650864403
3,3,0.778035519616
3,4,-0.000380871748829
3,5,0.000172247497159
4,1,-0.000539415860243
4,2,0.000242951426956
4,3,3.2627794919e-06
4,4,0.93281435012
4,5,-0.0124221569668
5,1,0.000198502707954
5,2,-0.00010899556874
5,3,0.000108387852203
5,4,0.00358077796869
5,5,1.60814016826
