row,col,value
1,1,1.06815889049
1,2,-5.84846216343e-06
1,3,-2.89854980766e-06
1,4,2.45486798386e-06
1,5,-2.3840784594e-05
2,1,4.42120049359e-06
2,2,1.10217148243
2,3,-0.000610747640241
2,4,2.42783563696e-05
2,5,1.10314084448e-05
3,1,-2.92391909787e-06
3,2,0.000703400053376
3,3,1.06681571196
3,4,1.87716405979e-05
3,5,-6.66001833829e-05
4,1,4.95772685313e-06
4,2,3.19278204639e-05
4,3,1.62045292173e-05
4,4,1.08079315144
4,5,-0.00100879007245
5,1,6.65927588885e-07
5,2,2.78707460181e-06
5,3,-5.07801380365e-06
5,4,0.000277512012089
5,5,1.14350901927
