row,col,value
1,1,0.820211192121
1,2,3.88262200196e-05
1,3,-2.6074276996e-05
1,4,5.25635869103e-05
1,5,-0.000183983169723
2,1,1.47175613058e-05
2,2,0.745982961505
2,3,0.00134242453206
2,4,-0.000137560760113
2,5,0.000183431610016
3,1,-2.13997249635e-05
3,2,-0.0016688614545
3,3,0.82316512232
3,4,3.02150222413e-05
3,5,-0.000119258516769
4,1,3.13407106265e-05
4,2,0.0004902937168
4,3,0.000684533412123
4,4,0.790921244347
4,5,0.0018582867378
5,1,-5.96743877191e-05
5,2,0.000309345637718
5,3,-5.65688592254e-05
5,4,-0.000898800402871
5,5,0.668852350782
