row,col,value
1,1,-0.792239452751
1,2,-8.89800537288e-06
1,3,-0.00014512246812
1,4,-0.000263036759074
1,5,-0.000147086631072
2,1,-0.000225512794565
2,2,-1.16843855268
2,3,0.00635595161537
2,4,-0.000144319162914
2,5,0.00101818220781
3,1,-0.000111686816446
3,2,-0.0086231288487
3,3,-0.775663412243
3,4,0.000258085832818
3,5,-9.68545574016e-05
4,1,0.000427044064592
4,2,-0.000316921799153
4,3,0.000120010695722
4,4,-0.932731571243
4,5,0.0112074915493
5,1,-2.57112998474e-05
5,2,-0.0001036102006
5,3,5.24880814236e-05
5,4,-0.00370394533981
5,5,-1.60782373258
