row,col,value
1,1,0.791636290633
1,2,-3.68074952702e-05
1,3,0.000171945958346
1,4,-6.99088210117e-05
1,5,0.000146334066133
2,1,1.18570060802e-05
2,2,0.864241090675
2,3,-0.0168737740592
2,4,0.000406519139595
2,5,-0.000503849018091
3,1,-9.3295816714e-05
3,2,0.0165393161978
3,3,1.039109537
3,4,-4.89509786815e-05
3,5,-0.00115645929932
4,1,-8.41674699941e-05
4,2,0.000587452795634
4,3,0.000446221671657
4,4,0.912610912238
4,5,-0.0108729431467
5,1,9.85089732738e-06
5,2,-4.24902273257e-05
5,3,0.000221938178313
5,4,0.00294764018969
5,5,1.57302038883
