row,col,value
1,1,1.06815393475
1,2,-9.62916321693e-06
1,3,3.68384549386e-06
1,4,-4.92253750303e-06
1,5,3.90723474346e-05
2,1,6.9009464776e-06
2,2,1.10986567594
2,3,2.33981961912e-05
2,4,-6.26597638561e-07
2,5,-0.00197781878073
3,1,4.208865017e-07
3,2,-1.07544186467e-05
3,3,1.09483449648
3,4,-0.000550361757771
3,5,2.33235911044e-05
4,1,-2.07103004066e-05
4,2,-6.60488227481e-07
4,3,0.00109213593098
4,4,1.06074461608
4,5,0.000100718228301
5,1,2.11213790683e-05
5,2,0.000798654499513
5,3,-3.65414611093e-06
5,4,8.56862452742e-05
5,5,1.13234623509
