row,col,value
1,1,-0.794820334185
1,2,1.49881678586e-05
1,3,0.000427200566357
1,4,-5.37561158758e-05
1,5,-0.000198907753415
2,1,0.000394243684008
2,2,-1.16940006269
2,3,0.00644944558878
2,4,0.000316858037577
2,5,0.000701126338353
3,1,0.000485821177914
3,2,-0.00849180907521
3,3,-0.77998877811
3,4,3.16485668899e-06
3,5,-7.8390705284e-05
4,1,-0.000258289074452
4,2,0.000106563472829
4,3,2.22796174466e-05
4,4,-0.931395609733
4,5,0.0104926586431
5,1,-6.78093551826e-05
5,2,-0.000284166447004
5,3,7.48863274535e-05
5,4,-0.003852400213
5,5,-1.60751632223
