row,col,value
1,1,1.21982217644
1,2,-4.93195381472e-06
1,3,-0.000130032732903
1,4,1.67081845825e-05
1,5,6.72352632242e-05
2,1,-0.000125918106085
2,2,1.33956957967
2,3,-0.00205805896537
2,4,-0.000103133257728
2,5,-0.000248026448028
3,1,-0.000148010797847
3,2,0.00270980332506
3,3,1.21530543548
3,4,-1.07554842235e-06
3,5,2.62069629428e-05
4,1,8.00994893745e-05
4,2,-3.47809969418e-05
4,3,-6.84334395471e-06
4,4,1.26218906473
4,5,-0.00360720695626
5,1,2.29671925566e-05
5,2,0.000100528248688
5,3,-2.53588642999e-05
5,4,0.00132439136044
5,5,1.49462879725
