row,col,value
1,1,1.2190353635
1,2,2.89644860963e-06
1,3,4.41320644625e-05
1,4,8.1608256118e-05
1,5,4.960139412e-05
2,1,7.20311807868e-05
2,2,1.33924761933
2,3,-0.00202690452353
2,4,4.68305770646e-05
2,5,-0.000360421307994
3,1,3.40477909174e-05
3,2,0.00274990540501
3,3,1.21399197733
3,4,-7.98215333767e-05
3,5,3.24271097428e-05
4,1,-0.000132467515426
4,2,0.00010295273225
4,3,-3.72057155635e-05
4,4,1.26261064551
4,5,-0.00385375497154
5,1,8.62718500543e-06
5,2,3.66979179797e-05
5,3,-1.77541268424e-05
5,4,0.00127361702283
5,5,1.49474362326
