row,col,value
1,1,0.93619465152
1,2,8.1456061554e-06
1,3,-3.15467857961e-06
1,4,4.34552192827e-06
1,5,-3.22901027262e-05
2,1,-5.85218745423e-06
2,2,0.901008801817
2,3,-1.92509826848e-05
2,4,3.95097201018e-07
2,5,0.00157375254359
3,1,-3.50396776635e-07
3,2,8.86433649673e-06
3,3,0.913379588762
3,4,0.000473903714924
3,5,-1.88400653358e-05
4,1,1.82805639742e-05
4,2,6.12398856763e-07
4,3,-0.000940410194734
4,4,0.942733504886
4,5,-8.38330315744e-05
5,1,-1.7459868105e-05
5,2,-0.000635490191517
5,3,3.03232712697e-06
5,4,-7.13368115164e-05
5,5,0.883121010097
