row,col,value
1,1,0.936190307348
1,2,4.96610196902e-06
1,3,2.54660752291e-06
1,4,-2.13159020246e-06
1,5,1.95166593133e-05
2,1,-3.75386787327e-06
2,2,0.907299500336
2,3,0.000519425518129
2,4,-2.03878570387e-05
2,5,-8.74051181907e-06
3,1,2.56841883859e-06
3,2,-0.000598223422576
3,3,0.937368679497
3,4,-1.62811714044e-05
3,5,5.45856316791e-05
4,1,-4.29485188919e-06
4,2,-2.67957408211e-05
4,3,-1.4065608696e-05
4,4,0.925246216701
4,5,0.000816240570628
5,1,-5.44131760971e-07
5,2,-2.20751765398e-06
5,3,4.16474642103e-06
5,4,-0.000224543015735
5,5,0.874500993797
