row,col,value
1,1,0.672778405832
1,2,-5.46349186484e-05
1,3,-0.000225470029843
1,4,-2.9913065369e-05
1,5,-0.000107587333229
2,1,-0.000115394464656
2,2,0.557440202357
2,3,0.00190684288743
2,4,4.57556428618e-05
2,5,-0.000101398008457
3,1,-0.000191815475417
3,2,-0.00269177391202
3,3,0.677756610051
3,4,-8.52286370862e-05
3,5,0.000209474269158
4,1,-0.000172317570705
4,2,-0.000215199903262
4,3,-0.000169019399352
4,4,0.627084091043
4,5,0.00273372394898
5,1,-6.53970133278e-06
5,2,-9.58222098333e-05
5,3,0.000113961293265
5,4,-0.0012696717885
5,5,0.447523284475
