row,col,value
1,1,1.06821642667
1,2,-8.89824012104e-06
1,3,2.61793045511e-05
1,4,6.83495311713e-06
1,5,4.04723489984e-05
2,1,-1.08491895442e-05
2,2,1.07481092799
2,3,-0.00154709062762
2,4,8.24870796495e-05
2,5,-7.84864281053e-06
3,1,1.03435981783e-05
3,2,0.00158124649531
3,3,1.09069590437
3,4,-1.43828034346e-05
3,5,7.56674359905e-05
4,1,-2.12111999747e-06
4,2,9.54898009308e-05
4,3,7.24457184777e-06
4,4,1.07878691171
4,5,-0.00111316899349
5,1,1.68639380115e-05
5,2,-1.81483423899e-05
5,3,-1.7724964984e-05
5,4,0.000280254680944
5,5,1.14108835559
