row,col,value
1,1,1.48604720879
1,2,7.54151625211e-06
1,3,0.000107364731697
1,4,0.000202582589231
1,5,0.000134293109988
2,1,0.000184197819467
2,2,1.7935786039
2,3,-0.00517516505267
2,4,0.000121555154236
2,5,-0.00102167345788
3,1,8.30481386453e-05
3,2,0.00702116043795
3,3,1.47377095113
3,4,-0.000197513360963
3,5,8.71546435308e-05
4,1,-0.000328764579004
4,2,0.000267624296625
4,3,-9.22898741184e-05
4,4,1.59418073093
4,5,-0.010626212605
5,1,2.32455994056e-05
5,2,0.000104083903347
5,3,-4.82126237087e-05
5,4,0.00351181717447
5,5,2.23425357769
