row,col,value
1,1,0.672256361267
1,2,2.80683724431e-05
1,3,-3.88750865969e-05
1,4,2.44084909196e-05
1,5,-7.12119318587e-05
2,1,3.93544439523e-05
2,2,0.557604580817
2,3,0.00250742913316
2,4,2.42381145022e-05
2,5,7.49320628315e-05
3,1,-4.5926888122e-05
3,2,-0.00220626457981
3,3,0.677717597921
3,4,0.000124193089741
3,5,-4.75752312327e-05
4,1,0.000174993603994
4,2,-7.17854828308e-05
4,3,-1.31929410611e-06
4,4,0.627248706319
4,5,0.00330631984847
5,1,-5.49513106038e-05
5,2,2.7389552305e-05
5,3,-2.99955744025e-05
5,4,-0.00095307871614
5,5,0.447501086998
