row,col,value
1,1,0.820320742364
1,2,-1.708077382e-06
1,3,-2.98258704417e-05
1,4,-5.29952783519e-05
1,5,-2.73578231669e-05
2,1,-4.41597591864e-05
2,2,0.746685343089
2,3,0.00124668369922
2,4,-2.77946129438e-05
2,5,0.000179947888213
3,1,-2.29010156096e-05
3,2,-0.00169137713914
3,3,0.82372585078
3,4,5.21579985984e-05
3,5,-1.81425874186e-05
4,1,8.60526717056e-05
4,2,-6.09902793007e-05
4,3,2.41978931939e-05
4,4,0.792007734666
4,5,0.0020419399436
5,1,-4.80714074321e-06
5,2,-1.83002174969e-05
5,3,9.73292060272e-06
5,4,-0.000674839560553
5,5,0.669009305074
