row,col,value
1,1,0.67291256994
1,2,-3.55293348401e-05
1,3,-0.000109060937746
1,4,4.37757528885e-05
1,5,-0.000273632938397
2,1,-8.14921101826e-05
2,2,0.557936571939
2,3,0.00149396667808
2,4,-4.96910038585e-05
2,5,7.84552796326e-05
3,1,-0.000123408886109
3,2,-0.00338252893971
3,3,0.677592646628
3,4,0.000203618265642
3,5,0.000139419028068
4,1,0.00010317814553
4,2,0.00014046852853
4,3,-0.000314516887339
4,4,0.62858809181
4,5,0.00223893429036
5,1,-4.65131406177e-05
5,2,-1.26600456963e-05
5,3,0.000183623287751
5,4,-0.00130993597457
5,5,0.447654545813
