row,col,value
1,1,0.820444450349
1,2,7.55131541035e-06
1,3,-3.41836037238e-05
1,4,1.41340873637e-05
1,5,-2.72511708521e-05
2,1,-2.37173712775e-06
2,2,0.805679820688
2,3,0.00332551549362
2,4,-8.14032788351e-05
2,5,9.33550098853e-05
3,1,1.85607509464e-05
3,2,-0.00325959749095
3,3,0.77121642116
3,4,9.67574315508e-06
3,5,0.000208548216497
4,1,1.70018200837e-05
4,2,-0.000117419319739
4,3,-8.7710285572e-05
4,4,0.796001929066
4,5,0.00199452244202
5,1,-1.84182850967e-06
5,2,7.9698735448e-06
5,3,-4.0010407906e-05
5,4,-0.000540718262217
5,5,0.674855851772
