row,col,value
1,1,2.21273905635
1,2,-0.000244156256103
1,3,0.000254194921649
1,4,-0.000176536052336
1,5,0.000883457305797
2,1,-0.000346645757236
2,2,3.21609891214
2,3,-0.0216894261303
2,4,-0.000230915749008
2,5,-0.00121069777063
3,1,0.000297472050103
3,2,0.0190839930038
3,3,2.1771183784
3,4,-0.000896660935624
3,5,0.000588147486286
4,1,-0.00128408682689
4,2,0.000698657737298
4,3,2.94400491345e-06
4,4,2.54158051445
4,5,-0.0451003593931
5,1,0.000675254489468
5,2,-0.00043755332229
5,3,0.000369245716452
5,4,0.0130003402785
5,5,4.99342592659
