row,col,value
1,1,0.949727743
1,2,-0.000817417077429
1,3,1.47955221326e-05
1,4,4.46691397406e-05
1,5,8.91204258539e-05
2,1,0.000943059806826
2,2,0.916065358495
2,3,-0.000101561946412
2,4,6.49838535262e-07
2,5,1.94016935107e-05
3,1,-3.21438328536e-05
3,2,-0.000109632497475
3,3,0.92824079883
3,4,0.000169923231665
3,5,-0.000193482317339
4,1,-3.80826243095e-05
4,2,1.76532244263e-06
4,3,-0.000207074138256
4,4,0.839159391951
4,5,0.0859435693584
5,1,-1.19549377922e-05
5,2,3.19822566739e-05
5,3,-3.59251078451e-06
5,4,0.00345385379221
5,5,0.869652894382
