row,col,value
1,1,0.781944708011
1,2,-0.000156788991667
1,3,-0.000286446567313
1,4,-0.000100588322929
1,5,-0.000160525868689
2,1,-0.000161194462173
2,2,0.784045805239
2,3,0.00608389747919
2,4,-0.000957900364829
2,5,0.000280973709203
3,1,-9.31525215195e-05
3,2,-0.00446838841285
3,3,0.692432453787
3,4,0.0274186268638
3,5,-0.0241713439688
4,1,0.00051981103144
4,2,0.000117214273538
4,3,-0.0120168290963
4,4,0.487103299884
4,5,0.221588864621
5,1,-0.000268512619389
5,2,-0.000103214169196
5,3,0.0012947920606
5,4,0.00854603031033
5,5,0.573922411388
