row,col,value
1,1,1.01734176334
1,2,0.000298963449332
1,3,-5.34494542534e-06
1,4,-1.72239556516e-05
1,5,-3.26144528959e-05
2,1,-0.000344915032553
2,2,1.02965348799
2,3,3.77216100611e-05
2,4,-2.30864682294e-07
2,5,-7.48116342637e-06
3,1,1.16253550039e-05
3,2,4.07203582815e-05
3,3,1.02513197383
3,4,-6.70956275522e-05
3,5,7.87857483225e-05
4,1,1.44603910055e-05
4,2,1.49479904926e-07
4,3,8.14264722494e-05
4,4,1.06029020617
4,5,-0.0353483787342
5,1,4.4959693189e-06
5,2,-1.24019872474e-05
5,3,1.16520758179e-06
5,4,-0.00142056235116
5,5,1.04774831085
