row,col,value
1,1,-0.241990886191
1,2,0.000633998229115
1,3,-1.45653399383e-05
1,4,0.00150535659872
1,5,0.000692814414307
2,1,0.00430950499017
2,2,-0.329631215232
2,3,0.00317709649723
2,4,0.000709480301942
2,5,-0.000771948232591
3,1,0.000884886127237
3,2,-0.0238650069228
3,3,-0.253860531345
3,4,-5.54080174218e-05
3,5,-0.00882191570253
4,1,0.0049896086436
4,2,0.00344443254192
4,3,0.00124574443183
4,4,-0.705457592478
4,5,0.418827011424
5,1,-0.00146354547911
5,2,0.000516061168676
5,3,3.54044203897e-06
5,4,0.0220033967371
5,5,-0.538175908818
