row,col,value
1,1,-0.248324948667
1,2,-0.000160053775728
1,3,-0.000563198168473
1,4,0.0020076595646
1,5,-0.00133930391202
2,1,-0.00017615522258
2,2,-0.245406437459
2,3,0.00915875677757
2,4,0.00117143690831
2,5,0.00562265037649
3,1,0.000750723899394
3,2,-0.00693481737395
3,3,-0.345080297723
3,4,0.00349332556712
3,5,-0.0119073615769
4,1,-0.000177381102062
4,2,-0.00218992657257
4,3,-0.00324416107478
4,4,-0.699993405837
4,5,0.407163429852
5,1,0.000397610768298
5,2,0.000252436328929
5,3,0.00333910037107
5,4,0.0199319036441
5,5,-0.547920321128
