row,col,value
1,1,0.979711041699
1,2,-1.64348962201e-05
1,3,-3.16219406947e-05
1,4,-1.21211168834e-05
1,5,-1.77558407186e-05
2,1,-1.67103406585e-05
2,2,0.979931949039
2,3,0.000669084189442
2,4,-0.000138264537568
2,5,7.02227253425e-05
3,1,-1.22756009063e-05
3,2,-0.000492759523761
3,3,0.969873059347
3,4,0.00376879405171
3,5,-0.00373525575979
4,1,7.27540781184e-05
4,2,1.24759140532e-05
4,3,-0.00167334147002
4,4,0.941603431609
4,5,0.0331043162644
5,1,-3.26661636716e-05
5,2,-1.19680472252e-05
5,3,0.000175919381606
5,4,0.00127408007479
5,5,0.954553726458
