row,col,value
1,1,1.22913473322
1,2,0.0046349306273
1,3,-8.00288367413e-05
1,4,-0.000312325766759
1,5,-0.000498905411077
2,1,-0.00534728192233
2,2,1.42000706165
2,3,0.000609563583499
2,4,-3.10654254078e-06
2,5,-0.000134531004745
3,1,0.000174598787556
3,2,0.000658048012663
3,3,1.34696784318
3,4,-0.00129473807083
3,5,0.00164815832531
4,1,0.000250298050064
4,2,4.90458167177e-05
4,3,0.00155317158937
4,4,2.02454142027
4,5,-0.757749736423
5,1,7.54523283185e-05
5,2,-0.000226398945655
5,3,8.93107127877e-06
5,4,-0.0304520941275
5,5,1.75568595701
