row,col,value
1,1,1.0529323982
1,2,0.000939547009095
1,3,-1.66930269769e-05
1,4,-5.56242116208e-05
1,5,-0.000102430176013
2,1,-0.00108395632846
2,2,1.09162421497
2,3,0.000119455300378
2,4,-7.12453993574e-07
2,5,-2.41457397614e-05
3,1,3.63282316078e-05
3,2,0.00012895317952
3,3,1.07730663139
3,4,-0.00021922385916
3,5,0.000261339813207
4,1,4.63276156729e-05
4,2,1.88896971774e-06
4,3,0.000265491917609
4,4,1.19215357312
4,5,-0.117814689926
5,1,1.43304650262e-05
5,2,-4.01395025458e-05
5,3,3.39129028366e-06
5,4,-0.00473467701398
5,5,1.15035196417
