row,col,value
1,1,0.940359699876
1,2,-4.72891476579e-05
1,3,-9.01265732052e-05
1,4,-3.39661361725e-05
1,5,-5.06452759306e-05
2,1,-4.81878030797e-05
2,2,0.940994972609
2,3,0.00190848036245
2,4,-0.00037539525622
2,5,0.000176767253483
3,1,-3.3826947943e-05
3,2,-0.00140475158582
3,3,0.912293726844
3,4,0.0103150942332
3,5,-0.0100177828605
4,1,0.000198403579048
4,2,3.57918627023e-05
4,3,-0.00456915354317
4,4,0.834943350153
4,5,0.0892882073464
5,1,-9.14079638257e-05
5,2,-3.37962817397e-05
5,3,0.000482513225392
5,4,0.00343763641555
5,5,0.869881781082
